pid,name,cpu
65379,/usr/sbin/cfpref,0.0
65381,/usr/sbin/cfpref,0.0
65384,/usr/sbin/cfpref,0.0
65386,/usr/sbin/cfpref,0.0
65387,/usr/sbin/cfpref,0.0
65390,/usr/sbin/cfpref,0.0
65391,/System/Library/,0.0
65392,/System/Library/,0.0
65403,/System/Cryptexe,0.0
65408,/System/Library/,0.0
65409,/System/Library/,0.0
65412,/System/Library/,0.0
65414,/System/Library/,0.0
65415,/usr/libexec/hid,0.0
65417,/System/Library/,0.0
65418,/System/Library/,0.0
65419,/System/Library/,0.0
65420,/System/Library/,0.0
65425,/System/Library/,0.0
65428,/usr/libexec/dir,0.0
65479,/Library/Apple/S,0.0
65480,/Library/Apple/S,0.0
65481,/Library/Apple/S,0.0
65482,/Library/Apple/S,0.0
65489,/System/Library/,0.0
65490,/System/Library/,0.0
65492,/usr/libexec/adp,0.0
65501,/System/Library/,0.0
65503,/System/Library/,0.0
65508,/System/Library/,0.0
65509,/System/Library/,0.0
65513,/System/Applicat,0.0
65514,/usr/libexec/ses,0.0
65515,/usr/libexec/swt,0.0
65517,/System/Library/,0.0
65518,/System/Library/,0.0
65520,/System/Library/,0.0
65521,/System/Library/,0.0
65526,cloudphotod,0.0
65545,/Applications/Go,0.0
65546,/Applications/Go,0.0
65548,/System/Library/,0.0
65549,/System/Library/,0.0
65550,/System/Library/,0.0
65551,/System/Library/,0.0
65552,/System/Library/,0.0
65553,/System/Library/,0.0
65554,/usr/libexec/ptp,0.0
65563,/Applications/Go,0.0
65564,/System/Library/,0.0
65568,/System/Library/,0.0
65569,/Applications/Go,0.0
65583,/usr/libexec/mma,0.0
65587,/usr/libexec/tru,0.0
65588,/usr/libexec/tru,0.0
65593,/System/Library/,0.0
65663,/System/Library/,0.0
65664,/System/iOSSuppo,0.0
65666,/System/Cryptexe,0.0
65667,/usr/libexec/nfc,0.0
65668,/System/Library/,0.0
65681,/usr/libexec/ASP,0.0
65783,/System/Library/,0.0
65966,/Applications/Go,0.0
66188,/System/Library/,0.0
66189,/System/Library/,0.0
66377,/System/Library/,0.0
66436,/System/Library/,0.0
25315,/usr/bin/login,0.0
25316,-/bin/zsh,0.1
66439,ps,0.0
66440,sed,0.0
66441,awk,0.0
52021,/usr/bin/login,0.0
52022,-/bin/zsh,0.0
